station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 05:00:00,5,0,0,57,0,12.9,0.0,Clear,1,New Year,57,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 06:00:00,6,0,0,307,6,13.7,0.0,Clear,1,New Year,364,0,51.2,0.771,high,5,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 07:00:00,7,0,0,445,6,17.7,0.0,Cloudy,1,New Year,809,0,74.2,1.0,high,5,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 08:00:00,8,0,0,551,6,18.6,0.0,Clear,1,New Year,1303,1,91.8,1.0,high,5,Morning Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 09:00:00,9,0,0,493,6,18.5,0.0,Clear,1,New Year,1489,1,82.2,1.0,high,5,Morning Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 10:00:00,10,0,0,377,6,18.5,0.0,Clear,1,New Year,1421,1,62.8,0.945,high,5,Morning Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 11:00:00,11,0,0,377,6,17.5,0.0,Clear,1,New Year,1247,0,62.8,0.945,high,5,Mid Morning
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 12:00:00,12,0,0,310,6,18.0,0.0,Clear,1,New Year,1064,0,51.7,0.778,high,5,Mid Morning
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 13:00:00,13,0,0,312,6,16.1,0.0,Clear,1,New Year,999,0,52.0,0.783,high,5,Mid Morning
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 14:00:00,14,0,0,359,6,14.7,0.0,Clear,1,New Year,981,0,59.8,0.9,high,5,Afternoon
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 15:00:00,15,0,0,385,6,12.4,0.0,Clear,1,New Year,1056,0,64.2,0.966,high,5,Afternoon
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 16:00:00,16,0,0,431,6,12.0,0.0,Clear,1,New Year,1175,0,71.8,1.0,high,5,Afternoon
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 17:00:00,17,0,0,456,6,12.6,0.0,Clear,1,New Year,1272,1,76.0,1.0,high,5,Evening Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 18:00:00,18,0,0,568,6,11.8,0.0,Clear,1,New Year,1455,1,94.7,1.0,high,5,Evening Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 19:00:00,19,0,0,519,6,9.4,0.0,Clear,1,New Year,1543,1,86.5,1.0,high,5,Evening Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 20:00:00,20,0,0,413,6,9.6,0.0,Clear,1,New Year,1500,1,68.8,1.0,high,5,Evening Peak
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 21:00:00,21,0,0,311,6,8.6,0.0,Clear,1,New Year,1243,0,51.8,0.78,high,5,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 22:00:00,22,0,0,200,6,10.3,0.0,Clear,1,New Year,924,0,33.3,0.501,medium,3,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-01 23:00:00,23,0,0,87,0,10.5,0.0,Clear,1,New Year,598,0,0.0,0.0,low,1,Night
AE06,Yashobhoomi Dwarka Sector 25 AE,Airport Express,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,287,0,0.0,0.0,low,1,Night
